tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
1.2553,-0.176874,-0.404583,-0.41538,-2.87498,-0.931111,0.825336,0.938324,5.89558,6.31791,5.65972,5.03032,0,0,0,0,0,0,0,0,0,0,0,0,0.0285523,-0.0661449,0.0852375,-0.0687522,0.88249,0.836306,0.976809,0.982051,-1.6271,-1.58825,-1.61101,-1.60655,0.0785805,-0.0733684,0.0670689,-0.0872716,0.767845,0.797233,1.01026,1.01615,-1.39256,-1.33523,-1.38581,-1.40254,-0.00919329,-0.00742744,-0.0992636,-0.0952116,0.0177355,-0.0914283,0.0217841,-0.171613,-0.064186,0.0151078,-0.0592214,0.140114,
1.27317,-0.13353,-0.341123,-0.389361,-2.98182,-0.968748,0.802604,0.983663,5.79603,6.09493,5.59816,4.81832,0,0,0,0,0,0,0,0,0,0,0,0,0.0283828,-0.0662229,0.0833271,-0.0705522,0.882467,0.834219,0.977287,0.978835,-1.62701,-1.58669,-1.61162,-1.60338,0.0791939,-0.0715363,0.067919,-0.0877564,0.762855,0.793178,1.00994,1.01522,-1.39387,-1.34018,-1.38783,-1.40719,-0.00578261,0.00138987,-0.0881628,-0.0814872,-0.016998,-0.114517,0.0274231,-0.147878,0.0652209,0.135698,-0.00688605,0.173064,
1.21083,-0.157747,-0.390234,-0.301244,-2.88433,-0.866743,0.774007,0.996023,5.58406,5.94581,5.64725,4.82691,0,0,0,0,0,0,0,0,0,0,0,0,0.0284088,-0.0659961,0.0817775,-0.07195,0.881819,0.831677,0.97802,0.976165,-1.62441,-1.58266,-1.61137,-1.59961,0.0770058,-0.0719154,0.0649756,-0.0850439,0.765621,0.794515,1.00982,1.01386,-1.39763,-1.34012,-1.38497,-1.40292,0.00817914,0.019527,-0.0596236,-0.0522095,-0.0412836,-0.124614,0.0419158,-0.107117,0.170437,0.235399,0.025593,0.180634,
1.20417,-0.144097,-0.306119,-0.304588,-3.00002,-0.896727,0.754808,1.09259,5.51129,5.7293,5.55443,4.67098,0,0,0,0,0,0,0,0,0,0,0,0,0.0285544,-0.0655999,0.0807503,-0.0728213,0.880804,0.829197,0.978839,0.97437,-1.6203,-1.57737,-1.61051,-1.59602,0.0767841,-0.0710385,0.0675711,-0.0857734,0.759606,0.790882,1.00972,1.01652,-1.39525,-1.34255,-1.38711,-1.40558,0.00314331,0.0162624,-0.0467212,-0.0384278,-0.0598536,-0.122308,0.0343796,-0.0778015,0.230208,0.282647,0.0614392,0.179825,
1.34493,-0.164148,-0.421807,-0.328714,-2.87258,-0.810078,0.765314,1.03939,5.29852,5.52845,5.55001,4.60458,0,0,0,0,0,0,0,0,0,0,0,0,0.0285357,-0.0653514,0.0799632,-0.0734464,0.879496,0.826897,0.979467,0.973214,-1.61532,-1.5715,-1.60903,-1.59263,0.082255,-0.0717266,0.0624713,-0.0870647,0.763235,0.792379,1.01072,1.01409,-1.39813,-1.34435,-1.38542,-1.40535,-0.00389487,0.0095388,-0.0309795,-0.0234867,-0.0678799,-0.105774,0.0319643,-0.0352106,0.262568,0.300782,0.0806333,0.154728,
1.35609,-0.122324,-0.347028,-0.323839,-3.03175,-0.917633,0.72999,1.11327,5.1452,5.28429,5.43153,4.4645,0,0,0,0,0,0,0,0,0,0,0,0,0.0283817,-0.0652367,0.0794571,-0.0738132,0.878098,0.82498,0.980127,0.972945,-1.60977,-1.56537,-1.60726,-1.5898,0.0824217,-0.0700942,0.0651712,-0.0870532,0.755557,0.786731,1.00991,1.01753,-1.3988,-1.34851,-1.38825,-1.40889,-0.0101745,0.00177338,-0.0202363,-0.0143255,-0.0635583,-0.0772027,0.0291112,0.00258012,0.258315,0.274392,0.0873643,0.116839,
1.36882,-0.135296,-0.40817,-0.324977,-2.97448,-0.860006,0.706026,1.07447,4.99305,5.24039,5.40853,4.44834,0,0,0,0,0,0,0,0,0,0,0,0,0.0282773,-0.0651298,0.0792948,-0.0738795,0.876967,0.823779,0.980684,0.973317,-1.60497,-1.56045,-1.60559,-1.58792,0.0830778,-0.070311,0.0631022,-0.0866721,0.757017,0.788504,1.00946,1.01696,-1.4009,-1.34648,-1.3877,-1.40856,0.00238763,0.0115325,0.00671243,0.0103289,-0.0485637,-0.0437343,0.0269198,0.0332839,0.217688,0.217531,0.0771801,0.0712772,
1.33455,-0.120367,-0.40307,-0.393904,-2.91266,-0.907664,0.754615,0.992836,4.95715,5.13644,5.36112,4.44883,0,0,0,0,0,0,0,0,0,0,0,0,0.0283893,-0.064867,0.079661,-0.0734626,0.876146,0.82329,0.981138,0.97431,-1.60107,-1.55677,-1.60408,-1.587,0.0818801,-0.0694673,0.0640211,-0.0887069,0.759022,0.786897,1.01161,1.01518,-1.39969,-1.34865,-1.38829,-1.40863,0.00543702,0.0107183,0.0241445,0.0255944,-0.0308716,-0.00435612,0.0145918,0.0576169,0.154947,0.13287,0.0675515,0.0205551,
1.40799,-0.154949,-0.441913,-0.343618,-3.01861,-0.963895,0.748165,1.04847,4.91789,5.09756,5.31047,4.45477,0,0,0,0,0,0,0,0,0,0,0,0,0.0284366,-0.0647553,0.0801585,-0.0729536,0.875716,0.823601,0.981269,0.975602,-1.59867,-1.5551,-1.60282,-1.58705,0.0847411,-0.0709423,0.0629431,-0.0862399,0.754722,0.785706,1.01119,1.01893,-1.4002,-1.35046,-1.38921,-1.40932,-0.000759895,0.000548076,0.0230553,0.0229195,-0.0124826,0.0330547,-0.000181884,0.0692726,0.0879875,0.0371544,0.059509,-0.0231134,
1.38744,-0.092979,-0.462781,-0.42574,-2.9401,-1.02546,0.749432,0.940195,4.93753,5.24804,5.30738,4.49065,0,0,0,0,0,0,0,0,0,0,0,0,0.028476,-0.0647312,0.0806935,-0.0724367,0.875672,0.824621,0.981144,0.977063,-1.59763,-1.55534,-1.60176,-1.58793,0.0841126,-0.0683608,0.0628432,-0.0888391,0.758214,0.784935,1.0109,1.0162,-1.39974,-1.34651,-1.38853,-1.40956,0.00694986,0.0044756,0.0330494,0.0313614,0.00732468,0.0665851,-0.0112045,0.0765107,0.0194029,-0.0544186,0.0464068,-0.0625055,
